category,upc,product_type,brand_name,generic_name,manufacturer_name,label_id,label_version,label_effective_time,purpose,indications_and_usage,active_ingredient,inactive_ingredient,dosage_and_administration,warnings
cough,70312670208,HUMAN OTC DRUG,Cherry Cough Drops,MENTHOL,Target Corporation,ae5b5b45-a0de-a936-e053-2995a90a8f74,6,2020-09-02,Purpose Cough Suppressant / Oral Anesthetic,uses temporarily relieves: cough as may occur with a cold occasional minor irritation ans sore throat,Active ingredient (in each drop) Menthol 5.8 mg,"Inactive ingredients: Corn starch, corn syrup, eucalyptus oil, FD&C red no. 40, glycerin, medium chain triglycerides, natural and artificial flavors, soybean oil, sucrose and water.",Directions adults and children 5 years and over - dissolve 1 lozenge slowly in mouth. Repeat every 2 hours as needed or as directed by a doctor. children under 5 years - ask a doctor,"Warnings Sore throat warning: If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, swelling, nausea, or vomiting, consult a doctor promptly. If sore mouth symptoms do not improve in 7 days, see your dentist or doctor promptly. These symptoms may be serious."
skin,616784120324,HUMAN OTC DRUG,Alcohol,ALCOHOL,Dynarex Corporation,ae5a835a-ab2b-4266-e053-2a95a90ac482,6,2020-09-02,Use: For preparation of the skin prior to injection.,indications and usage: stop use and ask a doctor if: irritation or redness develops condition persists for more than 72 hours cleansing of an injection site,Active Ingredient Purpose Isopropyl Alcohol 70% v/v Antiseptic,Inactive Ingredient Inactive Ingredient Water,Directions: Wipe injection site vigorously and discard,"Warnings: For external use only Flammable, keep away from flame or fire Not for use with electrocautinary devices or procedures Do not use in eyes"
acne,883140500759,HUMAN OTC DRUG,La Roche Posay Laboratoire Dermatologique Effaclar Duo Acne Treatment,BENZOYL PEROXIDE,"L'OREAL USA, INC.",9db596bc-e66e-4ed1-b8e8-33ceb3e99d00,7,2020-09-02,Purpose Acne medication,uses for the treatment of acne dries and clears acne blemishes and allows skin to heal,Active ingredient Benzoyl peroxide 5.5%,"Inactive ingredients water, isostearyl alcohol, glycerin, pentylene glycol, silica, carbomer, capryloyl salicylic acid, potassium hydroxide, tocopheryl acetate, acrylates/C10-30 alkyl acrylate crosspolymer, disodium EDTA, epilobium angustifolium flower/leaf/stem extract","Directions clean the skin thoroughly before applying this product cover the entire affected area with a thin layer one to three times daily because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor if bothersome dryness or peeling occurs, reduce application to once a day or every other day if going outside, apply sunscreen after using this product. If irritation or sensitivity develops, stop use of both prdoucts and ask a doctor.",Warnings For external use only
skin,816167012004,HUMAN OTC DRUG,Boogie Bottoms No-Rub Diaper Rash ,DIMETHICONE AND ZINC OXIDE,ELEEO BRANDS LLC,ae5efdbb-dc57-be28-e053-2995a90acb88,1,2020-09-02,Active ingredients Purpose Zinc Oxide 25% Skin Protectant Dimethicone 20% Skin Protectant,uses helps treat and prevent diaper rash protects chafed skin due to diaper rash and helps seal out wetness.,Active ingredients Purpose Zinc Oxide 25% Skin Protectant Dimethicone 20% Skin Protectant,"Inactive ingredients Cyclomethicone, Hexamethyldisiloxane, Lanolin, Light Mineral Oil, Microcrystalline Wax, Vitamin A Palmitate, Vitamin D3, White Petrolatum","Directions Change wet and soiled diapers promptly. Cleanse diaper area and allow to dry. Shake bottle well before use. Unlock to spray. Re-lock when not in use. Spray 4-6 inches from skin. No rub-in is required. Apply liberally as often as necessary, with each diaper change, especially at bedtime or anytime when exposure to wet diapers may be prolonged.","Warnings For external use only. When using this product do not get into eyes. If contact occurs, rinse eyes thoroughly with water. Stop use and ask doctor if condition worsens or symptoms last more than 7 days or clear up and occur again within a few days. Keep out of reach of children. Lock when not in use. If swallowed, get medical help or contact a poison control center immediately."
cough,357955512028,HUMAN OTC DRUG,Snore Control,"BROMIUM, CHAMOMILLA, CINCHONA OFFICINALIS, CUPRUM METALLICUM, HELLEBORUS NIGER, LAUROCERASUS, NUX VOMICA, PHOSPHORICUM ACIDUM, RHUS TOXICODENDRON, SILICEA. STRAMONIUM, ZINCUM METALLICUM",King Bio Inc.,ae56432b-2a02-129a-e053-2995a90abad3,3,2020-09-02,"HPUS active Ingredients: Purpose: Equal volumes of each HPUS** ingredient in 10X, 30X, and 1LM potencies. Bromium...................................jerking and starting during sleep Chamomilla .....................................................tightness of chest Cinchona officinalis ................................slow, labored breathing Cuprum metallicum ...........................................spasms of chest Helleborus niger...........................................irregular respiration Laurocerasus ...............................spasmodic tickling, dry cough Nux vomica .................................stuffy nose, especially at night Phosphoricum acidum......................................difficult breathing Rhus tox.............................heaviness of chest, bronchial cough Silicea...................................................coughs when lying down Stramonium............................................................ deep snoring Zincum metallicum ....................................................hoarseness **“HPUS” indicates the active ingredients are in the official Homeopathic Pharmacopeia of the United States.","uses for temporary relief of symptoms related to snoring: █ slow, labored breathing █ stuffy nose, especially at night █ heaviness of chest █ dry cough. † as per various homeopathic materia medicas. claims based on traditional homeopathic practice, not accepted medical evidence. these uses have not been evaluated by the fda, and product has not been clinically tested.","HPUS active ingredients Equal volumes of each ingredient in 10X, 30X, and 1LM potencies. Bromium Chamomilla Cinchona officinalis Cuprum metallicum Helleborus niger Laurocerasus Nux vomica Phosphoricum acidum Rhus toxicodendron Silicea Stramonium","Inactive Ingredients: Bio-Energetically Enhanced™ pure water, citrus extract* (ascorbic acid, citric acid, citrus aurantium amara fruit extract, citrus aurantium sinensis peel extract, citrus reticulata fruit extract, demineralized water, glycerin, lactic acid), Honeysuckle (Lonicera japonica), polylysine, Shagbark Hickory (Carya ovata) Bark Extract, steviol (Steviol glycosides).","Directions: Initially, depress pump until primed. Spray one dose directly into mouth. Adults: 3 sprays 3 times per day. Children ages 6-12: 2 sprays 3 times per day. Consult a physician for use in children under 6 years of age. Use additionally as needed, up to 6 times per day.","Warnings █ Stop use and consult a physician if symptoms worsen or persist for more than 7 days. If pregnant or breast-feeding, ask a healthcare professional before use.If pregnant or breast-feeding, ask a healthcare professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately."
skin,793366200473,HUMAN OTC DRUG,ROYAL CREAMY PETROLEUM,PETROLATUM,"NINGBO LIYUAN DAILY CHEMICAL PRODUCTS CO., LTD.",b057f83a-2c94-057f-e053-2995a90a9d03,1,2020-09-01,Purpose Skin Protectant,"uses: temporarily protects minor cuts, scrapes, and burns. temporarily protects and helps relieve chapped or cracked skin. helps protect from the drying effects of wind and cold weather.",Drug Facts Active Ingredient: Petrolatum 30%,"Inactive Ingredients: Water (Aqua), Mineral Oil, Cetearyl Alcohol, Glyceryl Stearate, Glycerin, Ceteareth-20, Propylene Glycol, Carbomer, Dimethicone, Triethanolamine, Fragrance, Tocopheryl Acetate, Methylisothiazolinone, Iodopropynyl Butylcarbamate.",Directions: Apply as needed.,"Warnings: For external use only. When using this product do not get into eyes. Stop use and ask a doctor if condition worsens, symptoms last more than 7 days or clear up and occur again within a few days. Do not use on deep puncture wounds."
skin,44224624208,HUMAN OTC DRUG,The Itch Eraser Sensitive,SODIUM BICARBONATE,Adventure Ready Brands,afd710fc-82b9-04ec-e053-2995a90a21e6,1,2020-09-01,Purpose Skin Protectant,"​uses ​temporarily protects and helps relieve minor skin irritation and itching due to: ​insect bites poison: ivy, oak, and sumac",Active Ingredient Sodium Bicarbonate (BakingSoda) 5%,"​Inactive Ingredients Aloe Vera, Dimethicone, Emulsifying Wax, Eucalyptus Oil, Oleth-3 Phosphate, Oleth-10, Phosphate, Purified Water, Sodium Hydroxide, Vitamin E Acetate, and Tea Tree Oil","​Directions ​Adults and children 2 years and older ​ dab directly on bite or sting, rub gently and re-apply as needed ​children under 2 years of age: ​ ask a doctor.",​Warnings ​For external use only
cough,96295140088,HUMAN OTC DRUG,Leader Chest Congestion Relief DM,DEXTROMETHORPHAN HYDROBROMIDE / GUAIFENESIN,Cardinal Health,ea304812-7894-4164-9c26-2c49cada8a98,2,2020-09-01,Purpose Cough Suppressant Expectorant,uses ■ temporarily relieves cough due to minor throat and bronchial irritation as may occur with a common cold ■ helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus ■ helps make coughs more productive.,Active ingredient - (per tablet) Dextromethorphan Hydrobromide 20mg Guaifenesin 400mg,"Inactive Ingredients magnesium stearate, microcrystalline cellulose. May also contain (colloidal) silicon dioxide, (co) povidone, dicalcium phosphate, maltodextrin, sodium starch glycolate, stearic acid. image of display",Directions ■ Adults and children 12 years of age and over : take 1 tablet every 4 hours as needed. ■ Children 6 to 10 under 12 years of age: take 1/2 tablet every 4 hours as needed. ■ Children under 6 years of age: consult a doctor. Do not exceed 6 doses in a 24 hour period or as directed by a doctor,"Warnings Do not use ■ if you are now taking a prescription monoamine oxidase (inhiMor~MAIO) (Certain drugs for depression, psychiatric or emotional conditioners or Parkinson's disease)or for 2 weeks after stopping MAIO drug, If you do not know if your prescription drug contains an MAIO, ask your doctor or pharmacist before using this product."
skin,8809317967868,HUMAN OTC DRUG,HANNA WIPES 100 WIPES,ALCOHOL,"Rainbow Beauty Cosmetic Co., Ltd.",ae46d61d-f785-65f4-e053-2a95a90a632f,2,2020-09-01,Sterilization of hands and skin,open the pouch inside the product for dispensing use a towel if necessary after use close the lid of the container and seal it again,alcohol,"water, glycerin, sodium hyaluronate, lemon fruit extract",for external use only,"1. Do not use on the following body parts. A wide range of body parts and damaged skin around the eyes and ears, in the oral cavity (may have irritating effects) 2. If the following symptoms appear, stop using them immediately and consult a doctor or pharmacist. 1) Hypersensitivity symptoms such as rash, erythema, itching, and edema 2) Skin irritation symptoms 3. Other precautions 1) For external use only (do not underwear). 2) Be careful not to get into your eyes, and if so, rinse well with clean water and consult a doctor or pharmacist. 3) Be careful not to inhale the vapor when using it extensively or for a long period of time (irritation to the mucous membranes, headaches, etc. may occur if ethanol vapor is consumed in large quantities or repeatedly). 4) If repeated use on the same site, be careful as the skin may become rough due to degreasing. 5) Do not use sealed bandages, cast bandages, packs, etc., as irritation may occur. 6) Do not use this medicine for anal or vaginal compresses as it may cause irritation or chemical burns. 7) Do not use for any other purpose. 4. Precautions for storage 1) Avoid shading and keep in shading. 2) Keep it out of reach of children, and if a child swallows it, go to the hospital right away. 3) After use, close the product completely with a lid to prevent the product from drying out or entering foreign Objects."
skin,6970476155648,HUMAN OTC DRUG,SANITARY WET TISSUE,SANITARY WET TISSUE,WEIHAI HAI NA BAI CHUAN PHARMACEUTICAL GROUP,e179dbb2-66e7-44e5-93f2-f41bce30ea7a,1,2020-08-31,"Purpose suitable for hands,skin and surface of common objects","use this product is suitable for cleaning and sterilizing hands,skin and surface of common objects.",Active Ingredient(s) Isopropanol,"Inactive ingredients glycerin, propylene glycol, purified water","usage open the lid,remove the sticker on the outer package,and extract the wet tissue,please stick the sticker back to its original place after use to prevent it from drying out",Warnings For external use only. Flammable. Keep away from heat or flame
skin,352410302053,HUMAN OTC DRUG,Medpride,WHITE PETROLATUM,Shield Line LLC,ae333ef6-ca40-7d40-e053-2a95a90a2d27,5,2020-08-31,Purpose Skin Protectant,"uses ■ helps treat and prevent diaper rash ■ helps seal out wetness ■ temporarily protects minor ■ cuts ■ scrapes ■ burns ■ temporarily helps protect and relieve chapped and cracked skin or lips ■ helps prevent and protect chafed skin or minor skin irritations associated with diaper rash ■ with each diaper change, espicially at bedtime when exposure to wet diapers may be prolonged",Active Ingredient White Petroleum Jelly USP [100% w/w],Inactive Ingredient None,Directions ■ change wet and soiled diapers promptly ■ cleanse the diaper area and allow to dry ■ apply as needed,Warnings For external use only
skin,681131052894,HUMAN OTC DRUG,Calamine Plus,"FERRIC OXIDE RED, PRAMOXINE HYDROCHLORIDE, ZINC OXIDE","Wal-Mart Stores, Inc.",ae2ecb6b-4fe0-3a8d-e053-2995a90a28cc,6,2020-08-31,Purpose Purpose Skin protectant External analgesic,"uses uses temporarily relieves pain and itching associated with: insect bites rashes minor skin irritations minor cuts dries the oozing and weeping of poison ivy, poison oak and poison sumac",Active Ingredients Calamine 8% Pramoxine HCL 1%,"Inactive ingredients Inactive ingredients benzyl alcohol, camphor, disteardimonium hectorite, fragrance, hydrated silica, isobutane, oleyl alcohol, SD alcohol 40-B, sorbitan trioleate","Directions Directions shake well before using adults and children 2 years of age and older cleanse the skin with soap and water let dry before use apply as needed to the affected area, not more than 3 to 4 times a day",Warnings Warnings For external use only. Use only as directed. Intentional misuse by deliberately concentrating and inhaling contents can be harmful or fatal.
skin,725272750001,HUMAN OTC DRUG,KEEN ESSENTIALS HAND SANITIZER,ALCOHOL,"YESROAD COSMETICS CO.,LTD",adf5f65c-a390-7a37-e053-2a95a90a344f,2,2020-08-28,"for hand-washing to decrease bacteria on the skin, only when water is not available",wet hands thoroughly with product and allow to dry without wiping,alcohol,"Water Glycerin Carbomer Helianthus Annuus Hybrid (Sunflower) oil Chamomilla Recutita (Matricaria) Extract Butylene Glycol Aloe Barbadensis Leaf Extract Butylene Glycol 1,2-Hexanediol Aminomethyl Propanol",For external use only,"Flammable, keep away from fire and flames Fot external use only."
skin,759245500263,HUMAN OTC DRUG,hand wipes,HAND WIPES,Accessory Myxx LLC,adf54ef2-bbff-53dc-e053-2a95a90a1594,1,2020-08-28,For Hand Sanitizing to decrease bacteria on the skin. Recommended for repeated use.,lift tab at front of the lid t o open. pull up corner of center sheet and thread through di spenser slit i n the l id. pull up exposed wipe and snap off. the next wipe i s ready for dispensing. close lid t o retain moisture. take wipe and rub thoroughly over all surfaces of bot h hands. rub hands briskly together to dry. dispose of used wipe in trash.,Benzalkonium Chloride,"Water, Phenoxyethanol, Ethylhexylglycerin, Didecyldimonium Chloride , Propylene Glycol, Glycerin",Recommended for repeated use.,"For external use only. Do not use over large areas of the body or if you are allergic to any of these ingredients. When using this product avoid contact with eyes. If contact occurs, rinse eyes thoroughly with water. Stop use and ask a doctor if irritation or redness develops and persists for more than 72 hours. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
skin,369740044096,HUMAN OTC DRUG,PROSHIELD PLUS SKIN PROTECTANT,DIMETHICONE,Smith & Nephew Medical Ltd,d0c8d3b3-0ea3-44f2-8685-1f0a51270f5b,1,2020-08-28,Purpose Skin Protectant,"uses helps prevent and temporarily protects chafed, chapped, or cracked skin.",Active ingredient Dimethicone 1% w/w,"Inactive Ingredients Calcium/Sodium PVM/MA Copolymer (Gantrez MS-955), Polyethylene Glycol 400 NF, Polyethylene Glycol 3350 NF, Povidone USP.",Directions Apply liberally as needed.,Warnings Do not use on deep or puncture wounds animal bites serious burns For external use only. When using this product do not get into eyes.
skin,6280115841048,HUMAN OTC DRUG,Germ Shield Hand Sanitizer,ALCOHOL,Tamara International Inc.,addd027d-4bdd-16f4-e053-2995a90a5c92,2,2020-08-27,Purpose Antiseptic skin cleanser,uses antiseptic(skin) cleanser effective in destorying (harmful) bacteria to provide antiseptic cleansing for personal hand hygiene to help prevent the spread of bacteria,Active ingredient(V/V) Ethyl Alcohol 80% Purpose Antiseptic skin cleanser,Inactive ingredients • Aqua (Water) • Glycerin • Polyquaternium-37 • Hydrolyzed Jojoba Esters,Directions Rub thoroughly into hands for at least 30 seconds. Allow to dry Adults and children over 2 years For Occasional and personal domestic use Supervise Children when they use this product,"Warnings For External use only Highly flammable. Keep away from heat source or flame When using this product avoid contact with eyes. If contact occurs, rinse thoroughly with water Stop use and ask health care professional If irritation develops. Keep out of reach of children. If swallowed, call a poison control centre or get medical help right away."
skin,899248002545,HUMAN OTC DRUG,Babo Fragrance Free Diaper Cream,ZINC OXIDE,"Babo Botanicals, Inc.",adcd4bb8-b041-af0a-e053-2995a90aa874,1,2020-08-26,Purpose Skin Protectant,use helps treat and prevent diaper rash • protects chafed skin and minor irritation associated with diaper rash • helps seal out wetness,Active Ingredient(s) Zinc Oxide 25%. Purpose: Skin Protectant,"Inactive ingredients BUTYROSPERMUM PARKII (SHEA) BUTTER, CALENDULA OFFICINALIS FLOWER EXTRACT*, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT*, COCOS NUCIFERA (COCONUT) OIL, EUPHORBIA CERIFERA (CANDELILLA) WAX, GLYCERIN*, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL , HYDROGENATED VEGETABLE OIL, LECITHIN, NASTURTIUM OFFICINALE (WATERCRESS) FLOWER/LEAF EXTRACT*, ROSMARINUS OFFICINALIS (ROSEMARY) EXTRACT, SPIRAEA ULMARIA (MEADOWSWEET) FLOWER EXTRACT*, THEOBROMA CACAO (COCOA) SEED BUTTER. *Certified Organic Ingredients","Directions Change wet and soiled diapers promptly. Cleanse the diaper area and allow to dry. Apply cream liberally and as often as necessary with each diaper change, especially at bedtime or anytime when exposure to wet diapers may be prolonged.",Warnings For external use only.
skin,793869836971,HUMAN OTC DRUG,TRIPLE SHIELD HAND SANITIZER,BENZALKONIUM CHLORIDE,Enviro Specialty Chemicals Inc,b3616ed6-79ed-4d37-b124-455fb1709089,1,2020-08-26,Purpose: Antiseptic/Hand & Skin Sanitizer,uses: hand sanitizer to help decrease bacteria on the skin - recommended for repeated use.,Active Ingredient: Benzalkonium Chloride 0.13%,"Inactive Ingredients: Aloe Barbadensis leaf extract, Aqua, Citric Acid, Caprylyl Glucoside, Hydroxyethyl Cellulose, Polyhexanide, Phenoxyethanol, Triethoxysilylpropyl Steardimonium Chloride.",Directions: Apply liberally to the palms of the hands. Rub into skin until dry. Recommended for repeat use,"Warnings: Do not freeze. For external use only. Do not use in ears, eyes or mouth. • When using this product, avoid contact with the eyes. In case of contact, flush eyes with water. • Stop use and ask a doctor if redness or irritation develop and persist for more than 72 hours. • Keep out of reach of children. • Children should be supervised when using this product."
skin,633911834169,HUMAN OTC DRUG,Biosilk Gardenia,BENZALKONIUM CHLORIDE,"Farouk Systems, Inc.",ada25c9b-4b9f-4b68-e053-2a95a90a8cb2,1,2020-08-24,Uses Use[s] to help reduce bacteria on the skin recommended for routine use 80-BSHCSL-Biosilk H+C Shield Lotion Gardenia 12oz-8-18-20,"warnings warnings for external use only. when using this product avoid contact with eyes if contact occurs, rinse eyes thoroughly with water stop use and ask a doctor if irritation and redness develop keep out of reach of children. in case of accidental ingestion, get medical help or contact a poison control center immediately. directions apply a small amount to palm and rub hands together thoroughly bshcslg12 biosilk h+c shield lotion gardenia-08-21-20",Active Ingredient Benzalkonium Chloride 0.13%................................Antimicrobial BSCCSLG12 Biosilk H+C Shield Lotion Gardenia-8-21-20,"Inactive Ingredients Inactive ingredients: Aqua/Water/Eau, Cetyl Alcohol, Dimethicone, Propanediol, Cetearyl Alcohol, C15-19 Alkane, Glycerin, Glyceryl Stearate SE, Ceteareth-20, Caprylyl Glycol, Aloe Barbadensis Leaf Juice, Hydrolyzed Silk, Hexylene Glycol, Dimethiconol, Butyrospermum Parkii (Shea) Butter, Pentylene Glycol, Ethylhexylglycerin, Disodium EDTA, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Hydroxide, Alcohol Denat., Fragrance (Parfum), Benzyl Benzoate, Benzyl Salicylate, Eugenol, Hydroxycitronellal BSHCSLG12 Biosilk H+C Shield Lotion Gardenia-08-21-20",Directions Directions apply a small amount to palm and rub hands together thoroughly 80-BSHCSL-Biosilk H+C Shield Lotion Gardenia 12oz-8-18-20,"Warnings Warnings For external use only. When using this product avoid contact with eyes if contact occurs, rinse eyes thoroughly with water Stop use and ask a doctor if irritation and redness develop Keep out of reach of children. In case of accidental ingestion, get medical help or contact a Poison Control Center immediately. 80-BSHCSL-Biosilk H+C Shield Lotion Gardenia 12oz-8-18-20"
skin,633911834121,HUMAN OTC DRUG,Biosilk Pomegranite,BENZALKONIUM CHLORIDE,"Farouk Systems, Inc.",ada6d3b2-8f3e-0e03-e053-2a95a90a01a4,1,2020-08-24,Use(s) Use[s] to help reduce bacteria on the skin BSHCSLP12 Biosilk H+C Shield Lotion Pomegranate-8-21-20,use(s) use[s] to help reduce bacteria on the skin recommended for routine use bshcslp12 biosilk h+c shield lotion pomegranate-8-21-20,Active Ingredient Active ingredient Purpose Benzalkonium Chloride 0.13%................................Antimicrobial BSHCSLP12 Biosilk H+C Shield Lotion Pomegranate-8-21-20,"Inactive Ingredients Inactive ingredients: Aqua/Water/Eau, Cetyl Alcohol, Dimethicone, Propanediol, Cetearyl Alcohol, C15-19 Alkane, Glycerin, Glyceryl Stearate SE, Ceteareth-20, Caprylyl Glycol, Aloe Barbadensis Leaf Juice, Hydrolyzed Silk, Hexylene Glycol, Dimethiconol, Butyrospermum Parkii (Shea) Butter, Pentylene Glycol, Ethylhexylglycerin, Disodium EDTA, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Hydroxide, Alcohol Denat., Fragrance (Parfum), Citral, Citronellol, Limonene, Linalool BSHCSLP12 Biosilk H+C Shield Lotion Pomegranate-8-21-20",Directions apply a small amount to palm and rub hands together thoroughly BSHCSLP12 Biosilk H+C Shield Lotion Pomegranate-8-21-20,"Warnings Warnings For external use only. When using this product avoid contact with eyes if contact occurs, rinse eyes thoroughly with water Stop use and ask a doctor if irritation and redness develop Keep out of reach of children. In case of accidental ingestion, get medical help or contact a Poison Control Center immediately. BSHCSLP12 Biosilk H+C Shield Lotion Pomegranate-8-21-20"
skin,628086231042,HUMAN OTC DRUG,Deljine Hand Sanitizer gel,ALCOHOL,Deljine Cosmetics corporation,ad65bc1c-1408-69cb-e053-2995a90ab67f,3,2020-08-21,Purpose Antibacterial (skin) cleanser. Antiseptic (skin) cleanser. Effective in destroying (harmful) bacteria to provide antiseptic cleansing.,use for personal hand hygiene to help prevent the spread of bacteria. kills harmful bacteria/germs. medicated (skin) cleanser. for use when soap and water are not available. for personal hand hygiene to help prevent the spread of bacteria. kills harmful bacteria/germs. medicated (skin) cleanser. for use when soap and water are not available.,Active Ingredient(s) Ethyl alcohol (Ethanol)-70 % V/V / Alcool Ethylique 70% V/V,"Inactive ingredients Water/ Aqua/Eau , Ammonium Acryloyldimethyltaurate, Glycerin, Aloe Barbadensis Leaf Juice, d-alpha-tochopheryl Acetate, fragrance (green tea coriander and mandarin)/ parfum (thé vert coriandre et mandarine).",Directions Rub thoroughly into hands for at least 30 seconds. Allow to dry. Supervise children when they use this product. For occasional and personal domestic use.,Warnings Flammability warning. Keep away from open flame and sources of heat. For external use only.
cough,50428297346,HUMAN OTC DRUG,Severe Cold and Flu Relief,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL",CVS Pharmacy,5cd2f075-e534-44da-b76f-cba67ca0a23c,9,2020-08-20,Purpose Pain reliever/fever reducer Cough suppressant Expectorant Nasal decongestant,uses temporarily relieves these common cold and flu symptoms: headache cough nasal congestion sore throat minor aches and pains helps loosen phlegm (mucus) and thin bronchial secretions to make coughs more productive temporarily reduces fever,Active ingredients (in each caplet) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Guaifenesin 200 mg Phenylephrine HCl 5 mg,"Inactive ingredients corn starch, crospovidone, D&C yellow #10 aluminum lake, flavor, magnesium stearate, maltodextrin, microcrystalline cellulose, polyethylene glycol, polyvinyl alcohol, povidone, silicon dioxide, sodium starch glycolate, stearic acid, sucralose, talc, titanium dioxide","Directions do not take more than directed adults and children 12 years and over take 2 caplets every 4 hours swallow whole - do not crush, chew, or dissolve do not take more than 10 caplets in 24 hours children under 12 years: ask a doctor","Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning: If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. if you have ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if you have liver disease diabetes heart disease thyroid disease difficulty in urination due to enlargement of the prostate gland persistent or chronic cough such as occurs with smoking, asthma, chronic bronchitis, or emphysema high blood pressure cough that occurs with too much phlegm (mucus) Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin. When using this product do not exceed recommended dosage. Stop use and ask a doctor if new symptoms occur nervousness, dizziness, or sleeplessness occur pain, nasal congestion, or cough gets worse or lasts more than 7 days fever gets worse or lasts more than 3 days redness or swelling is present cough comes back or occurs with rash or headache that lasts.These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of accidental overdose, get medical help or contact a Poison Control Center right away. Prompt medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms."
skin,8693744617102,HUMAN OTC DRUG,Medifresh Hand Skin Antiseptic Disinfectant Wet Wipes,ALCOHOL-BENZALKONIUM CHLORIDE,KARDESLER UCAN YAGLAR SANAYI ANONIM SIRKETI,ad5587c1-eedc-6a43-e053-2995a90ad1bb,3,2020-08-20,"Purpose Antiseptic, Hand & Skin Sanitizer",use skin should be rubbed vigorously with the wet wipe. no need to rinse after usage. allow skin to dry without wiping. for adults and children 2 years and over.,Active Ingredient(s) Alcohol 80% w/w Benzalkonium Chloride 0.1% w/w . Purpose: Antiseptic,"Inactive ingredients Aqua, Glycerol, Propylene Glycol, Parfum, Tocopheryl Acetate, Citric acid, Aloe Barbadensis Extract","Directions Open contaniner plastic cover. Tear off aluminum cover. From center of wipe roll, pull up wipe corner; Twist wipe corner from the center plastic cap, thread through the hole. Pull through about one inch. Replace plastic cover. Pull out wipes as needed and snap off at 90 angle. Wipe skin,hands, wrist and elbow ensuring wetting completely. Do not rinse after usage. Keep center cap closed to prevent moisture loss. Discard properly after use. Supervise children under 6 years of age when using this product to avoid swallowing.",Warnings For external use only. Flammable. Keep away from heat or flame
